"region","drivmedel","månad","Antal"
"Riket","elhybrid","2012M03",161
"Riket","elhybrid","2012M04",110
"Riket","elhybrid","2012M05",172
"Riket","elhybrid","2012M06",261
"Riket","elhybrid","2012M07",309
"Riket","elhybrid","2012M08",262
"Riket","elhybrid","2012M09",331
"Riket","elhybrid","2012M10",434
"Riket","elhybrid","2012M11",402
"Riket","elhybrid","2012M12",372
"Riket","elhybrid","2013M01",358
"Riket","elhybrid","2013M02",342
"Riket","elhybrid","2013M03",353
"Riket","elhybrid","2013M04",365
"Riket","elhybrid","2013M05",464
"Riket","elhybrid","2013M06",362
"Riket","elhybrid","2013M07",355
"Riket","elhybrid","2013M08",553
"Riket","elhybrid","2013M09",556
"Riket","elhybrid","2013M10",549
"Riket","elhybrid","2013M11",483
"Riket","elhybrid","2013M12",430
"Riket","elhybrid","2014M01",492
"Riket","elhybrid","2014M02",462
"Riket","elhybrid","2014M03",627
"Riket","elhybrid","2014M04",495
"Riket","elhybrid","2014M05",520
"Riket","elhybrid","2014M06",626
"Riket","elhybrid","2014M07",419
"Riket","elhybrid","2014M08",609
"Riket","elhybrid","2014M09",583
"Riket","elhybrid","2014M10",702
"Riket","elhybrid","2014M11",692
"Riket","elhybrid","2014M12",826
"Riket","elhybrid","2015M01",579
"Riket","elhybrid","2015M02",626
"Riket","elhybrid","2015M03",943
"Riket","elhybrid","2015M04",504
"Riket","elhybrid","2015M05",584
"Riket","elhybrid","2015M06",914
"Riket","elhybrid","2015M07",596
"Riket","elhybrid","2015M08",611
"Riket","elhybrid","2015M09",850
"Riket","elhybrid","2015M10",775
"Riket","elhybrid","2015M11",766
"Riket","elhybrid","2015M12",1021
"Riket","elhybrid","2016M01",833
"Riket","elhybrid","2016M02",1107
"Riket","elhybrid","2016M03",1336
"Riket","elhybrid","2016M04",1013
"Riket","elhybrid","2016M05",1087
"Riket","elhybrid","2016M06",967
"Riket","elhybrid","2016M07",810
"Riket","elhybrid","2016M08",1221
"Riket","elhybrid","2016M09",1613
"Riket","elhybrid","2016M10",1168
"Riket","elhybrid","2016M11",1128
"Riket","elhybrid","2016M12",1353
"Riket","elhybrid","2017M01",1049
"Riket","elhybrid","2017M02",1436
"Riket","elhybrid","2017M03",2086
"Riket","elhybrid","2017M04",1248
"Riket","elhybrid","2017M05",1483
"Riket","elhybrid","2017M06",1574
"Riket","elhybrid","2017M07",1230
"Riket","elhybrid","2017M08",1691
"Riket","elhybrid","2017M09",1554
"Riket","elhybrid","2017M10",1645
"Riket","elhybrid","2017M11",1629
